District,BAPerctentIncrease,AvgSalary,FTE,StudentDays,ContractDays,InserviceDays,Holidays,EndYear,DistrictID
Enterprise 21,2,58984,29,151,189,5,8,2017,2221
Falls City 57,1.4,40503,11,151,190,5,4,2017,2193
Helix 1,3,40430,18,180,176,4,0,2017,2201
Imbler 11,2,56024,21,176,186,3,4,2017,2215
Joseph 6 *,1,58429,20,151,170,4,6,2017,2219
Knappa 4 *,2.07,46275,32,173.5,190,6.5,6,2017,2262
Long Creek 17,6,47948,5,144,170,5,8,2017,2012
Lowell 71,3,42909,27,175,194,6,9,2017,2092
Mapleton 32,0,41007,14,143,169,16,6,2017,2085
Marcola 79J *,2,58936,15,146,170,5,7,2017,2094
McKenzie 68,2,47344,18,149,167,13,5,2017,2090
Mitchell 55,2.75,46688,20,150,171,13,8,2017,2249
Nestucca Valley 101J *,3.11,56622,27,168,183,6,8,2017,2199
North Douglas 22 *,2.95,51118,24,176,190,5,4,2017,1996
North Lake 14,2,54400,18,146,166,14,6,2017,2061
Paisley 11,8.251,46867,12,148,163,10,5,2017,2060
Pilot Rock 2 *,2,48677,24,158,191,10,6,2017,2202
Pine Eagle 61,4,49490,19,145,157,9,7,2017,1897
Prospect 59,2,49241,17,143,159,10,6,2017,2045
Riddle 70,2,50803,29,174,190,7,9,2017,1999
Sherman 1,1,45818,54,162,190,22,6,2017,2195
South Wasco County 1,2,53572,17,174,194,3,6,2017,2225
Spray 1,0,49628,7,148,153,5,0,2017,2247
Stanfield 61R *,1.6,51945,31,146.5,168,17.5,6,2017,2209
Union 5 *,2,55420,21,147,159,4,6,2017,2213
Wallowa 12,1.25,56755,23,152,185,13,5,2017,2220
